Ids,Sentiment,Sarcasm,Vulgar,Abuse,Target,OCR
Hindi_image_105.jpg,Neutral,Sarcastic,Vulgar,Non-abusive,Individual,Tmm Uske Pass Wapas Kyu Gyi ?? Dil Dick Dick Krne Laga Tha..
Hindi_image_1052.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,None,छ par badi ई ki matra छी
Hindi_image_1054.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,None,mood thora sa acha he thori der ke liye ijjat se pesh aa skta hu
Hindi_image_1057.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,None,"Allah Maaf Kare, Bade
Hi Manhoos Lagre Ho"
Hindi_image_1058.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None,मुझे वो पसंद है @samosahoonbhay और उसे Pura mohalla
Hindi_image_1059.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,5e8< Jab fak body ki Tum subah kab haddiya २०७ se wapas uthtebo? २०६ na ho jaye Pok Matlab? Kuch nahi Are..
Hindi_image_106.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,Gender,"Tum subah kab uthte ho?

Jab tak body ki haddiya 207 se wapas 206 na ho jaye

Matlab? 😶

Are.. Kuch nahi"
Hindi_image_1060.jpg,Negative,Non-Sarcastic,Vulgar,Non-abusive,Individual,"Sunlo hum tumhara
ramote control plane
Lono aayo ho or hum
leko jaayege

dlan
le Jao bas Nobita KI
Leno me tumhara

ham mana kab kiyo ho"
Hindi_image_1062.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,None,"Na jane log Zindgi bhar
Yaadon k saath kese
Jee jate hain ???

wah wah

Hum to ek chapter yaad
kr ke sotey hain,
Subah wo bhi bhool
jate hain

...

ratta mat Igaya kr nikammmyyyy"
Hindi_image_1069.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Political,"अपने मोटापे से बहुत परेशान था यह मेरे दुःख का कारण था
की तभी मेने चुनी कांग्रेस की सरकार

खाने के लाले पड गये मै पतला हो गया
थैंक यू कांग्रैस

और"
Hindi_image_1071.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"LAUGH RIOT

(HASYA DANGA)"
Hindi_image_1072.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"बेटी तेरा पोस्ट पढ़कर
आजादी के बाद पहली
बार सर्मिदा हुआ हूं।
तेरा बापू"
Hindi_image_1073.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"ek bar toh humne school me pankha mod diya.
kyun mod diya hume nehi pata"
Hindi_image_1078.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,None,Mera Bucky Unotiicial Tto Mama J० Na nache Mera Ghoda Behanka (oda
Hindi_image_1079.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Social Sub-groups,GIRL Ghnost In Beal Life
Hindi_image_1085.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"Iski mosi ka aalu ka Paratha

Aaj toh isse kalesh hi nahi kara"
Hindi_image_1086.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,National Origin,"Only love react if you are jio user

Jio

16

5h
Like Reply

Vijay Thakur
Mukesh Ambani Abe Bsdk
network nahi aata thik se.
Jaldi theek karwa
2h
Like Reply

1

Mukesh Ambani
To idea le na, Me khud idea
use krta hu
2h"
Hindi_image_1088.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"मुझे
फिर से
PM
बनाओगे
?

चूतिया
लिखा है इधर
?"
Hindi_image_1089.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Individual,"DOCTOR KO ISS BAAT KI
BHANAK TAK NAHI THI KI
USKA KHUDKA ILAAJ HONE
WALA HAI"
Hindi_image_109.jpg,Neutral,Non-Sarcastic,Vulgar,Non-abusive,Gender,"लोग कहते है सुबह सवेरे खुशी
हंसी बिस्तर से उठना चाहिए

Hindi

बहनचोद यहाँ तो सुबह उठते ही पहली
चिंता ये होती है

Von

कि लण्ड महाराज सोये तो हम उठ के
कमरे से बाहर निकले"
Hindi_image_1090.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual,Abew eeno bsdk ye kta N dlp
Hindi_image_1092.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,"Moment hai bhai, Moment hai."
Hindi_image_1093.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,"Wabc
Jan kia kar rhi
ho
Options Clear"
Hindi_image_1094.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"*Robbery at mall*
*In PVR*Police- kitne ka nuksaan huya?
Manager- Kareeb 2 lakhs ka ..

Police- kya kya leke gaye chor?
Manager- 2 large Coke, 2 regular
salted popcorns,
hotdog.

"
Hindi_image_1095.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Individual,When you watch Porn Video after masterburate
Hindi_image_1099.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,None,रहण दे बस
Hindi_image_110.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,Others,"कल मेरी वाली की
शादी थी,

परसो मुझसे बोली
मेरी शादी मे डी जे पर क्या
बजाओगे?

मै बोला तेरी Call
recording"
Hindi_image_1100.jpg,Positive,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,"hii
7:42 PM
i love you

7:42 PM

अद्भुत
अविश्वसनीय
अकल्पनीय"
Hindi_image_1103.jpg,Neutral,Non-Sarcastic,Vulgar,Non-abusive,None,Uatch till the end
Hindi_image_1106.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,२ = x Acceler
Hindi_image_1107.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"Bhanje Tujhe pata he Chutiya kise kehte he

Jo log Avengers End Game Ke spoilers de Rahe unko

Unko to ""Madarchod"" kehte he"
Hindi_image_1108.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,"13 Saal Pehle SAMOSA 60 Paisey ka tha aur Phone Call 8 Rs. Ki  
Ab Phone Call 60 Paisey Ki Hai aur Samosa 8 Rs. Ka  
MORAL :- Mehngayi barhi nahin hai. Bas idhar udhar hogayi hai"
Hindi_image_111.jpg,Neutral,Sarcastic,Vulgar,Non-abusive,Gender,"गर्लफ्रेंड में अपनी जिंदगी में कोई लंबा हाथ मारना चाहती हूँ  
परंतु: प्रॉब्लम ये सिर्फ हाथ मारे, लंबा तो अपने आप ही जायेगा"
Hindi_image_1111.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"*Bunty Tera saabun
slow hai kya?

Aye apna kaam
karna madharchod"
Hindi_image_1112.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,None,"अ
Pan"
Hindi_image_1115.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Others,After watching scared games seasson 2Hame bhi Guru Ji Ka pyaar Chahiye
Hindi_image_1116.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,Some Of The Biggest Drug Dealers Of All Time
Hindi_image_1117.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,"Jaydev Unadkad After
the Match winning spell

Le KKR fans

carefully, he's a hero"
Hindi_image_112.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,"Uncle sBeta Shadi Karlo"" Me : cUncle Galat Samajh Rahe Ho Ye Haatho Me Chhale Gym Jane Se Hue 0[1700: ० ]8 %) 700 Aap"
Hindi_image_1121.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,Elk Dosi aisa bhi कैंसर हुआ तो सिगरेट पीना सिखाने वाले दोस्त की गोली मारकर हत्या 7 7 71'777 [7@3
Hindi_image_1122.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None,bokachoda
Hindi_image_1123.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual,"Prostitutes Suffering from AIDS be like Mujhe ulz kar jo tum jaoge Bada
pachtaoge ! Bada pachtaoge."
Hindi_image_1125.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"Show me best
teacher

I said the best"
Hindi_image_1127.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,"Inka koi galti nahi hai, THIK HAI? "
Hindi_image_1129.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"*When a girl reacts to my meme .*

Me:

Pandit ko bula le

Main shaadi karega."
Hindi_image_1130.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,"Show me the Biggest Toofan SK tacicil Isaid the Biggest COव""[[ Jale Perfect"
Hindi_image_1131.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,None,"इतना मानसिक
तनाव bc"
Hindi_image_1134.jpg,Negative,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,"Mai aapse khana
khake baat kruga"
Hindi_image_1136.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,"Akele rahe,

Mujh jesy toxic

se dur rahe
aur khush rahe"
Hindi_image_1138.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"Thor i told you, die for that Thanos - You should ve gone for the head. Saia I87 Ihen Siate] Mehnat Barbaad Beharch#d you d Snap"
Hindi_image_1139.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"Dad To Me- Tumhe Jo Facility Mil Rahi Hai,
Mujhe Milti Toh Main Top Karta!

Dada Ji-"
Hindi_image_1141.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"दीया
और बाती
हम

DIYA AUR BATI HUM

Backchod Billi

SASUR KE NATI TUM BC"
Hindi_image_1145.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"idk how to flirt i done
called this bitch teri jesi
kutiya ko
to kbhi
text na
kru m"
Hindi_image_1147.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"STATION JAYEGA?

Haan Jayega Na Sahab

TO JA BC
YAHA KYU KHADA HAI"
Hindi_image_1148.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,Kisne Touch kiya usko Maderch#d
Hindi_image_1149.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"बहती है नदी,
गिरता है झरना
ए मादरचोद

बापू केवय oapu ke vachan
-Mahatma Gandhi

अपना काम कर ना"
Hindi_image_115.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,Political,राहुल आंधी गुरुवार को अटल जी को देखने गया अटल जी २४ घण्टे में स्वर्ग को गए जय ललिता को देखने गया २४ घण्टे में वो भी गुजर गई करुणानिधि को देखने गया वो भी २४ घण्टे में निकल लिए लालू यादव अस्पताल में घबराये कही मुझे देखने न आ जायेंट हुए है
Hindi_image_1150.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"ABP News stating facts

बादल की वजह से
बारिश होती है

Kaa baat kar rhe hain"
Hindi_image_1151.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,The man who took singing to a new level
Hindi_image_1152.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Social Sub-groups,Family man single man 
Hindi_image_1154.jpg,Negative,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,मुझे गर्व है बेटा तुम पे! ! िल्कुल मेरे दिखाए दए रास्ते पर चल रहे हो
Hindi_image_1155.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,"YOU
V/s 
The Guy She
Told you not to
worry about"
Hindi_image_1157.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Social Sub-groups,"हवस के नाम पर होठ से होठ भी मिला लेते हैं वो लोग, जिन्हे नीची जाती के हाथों से पानी पीना तक पसंद नहीं है..!! JH BeHCRR SIIDHU"
Hindi_image_1158.jpg,Negative,Non-Sarcastic,Vulgar,Non-abusive,Gender,"Ye dikh iski
ammako land hain"
Hindi_image_116.jpg,Positive,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,"#JokeScoff

ये घर के बाहर इतनी भीड़ क्यों लगी है ?
कुछ नही, मैंने पड़ोसियों से कहा कि,
हमारे दामाद आ रहे है मुंबई से ...
तो इसमें इतनी भीड़ कैसी ?
अरे जानू, मैं English सिख रही हुँ न,
इसलीये मैंने ये बात English में कही ...
क्या कहा तुमने English में ?
मैंने कहा की आज हमारे घर
Sunny Leone आ रहे है।
भगवान के लिये बंध कर अपनी ये
अंग्रेजी ...
उसे Sunny Leone नहीं, Son-in-law कहते है

पति
क्या हुआ ? 6

पत्नी

पति
पत्नी

पति
पत्नी

पति"
Hindi_image_1164.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Social Sub-groups,"HOW GIRLS CHECK OUT GUYS

HOW GUYS CHECK OUT GIRLS"
Hindi_image_1168.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Gender,Student: Maam why gandhiji has no hair on his head? Techer Because of intelligence Student: Now understood why girls have long hair!
Hindi_image_1169.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,"Exactly 10A.M aaj mera breakup hogya

SUNA HAI YAHA KISİ KA BREAKUP HOGAYA HAI
AUR WO BAHOT TAKLEEF MAI HAI"
Hindi_image_117.jpg,Neutral,Sarcastic,Vulgar,Non-abusive,Gender,रोड पे इतने गड्ढे हो गए है कि घर जाने के बाद और धक्के सहन नही होते| एक एक्टिवा चालक भाभी|
Hindi_image_1170.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,bakwaas karte rehna chaiye yaar man laga rehta hai
Hindi_image_1172.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"Ye Dekho 1
Rupye Wala
Video

Bhai 1 Rupya
Change
Nahi Hai

bewakoof.com

Ye Le 4GB

FFEFFFF

Memory Card

FFFFF

With 1000 Videos,

FFFFF

Nikaal mera

FFUU

1000 Ka Note ..!!

JUUU
UUUU
JUUU
UUUU
JUUU

for more fun join us ->

https://www.facebook.com/SaleChutiya"
Hindi_image_1173.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"*Posts a slightly Offensive joke Foreigner Lmao. Thats some dark shit bro ` India: Oye admin, teri ma ki chut bhadve"
Hindi_image_1174.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Others,"8 SEMESTERS,48 SUBJECTS

ONE NOTEBOOK"
Hindi_image_1178.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"chup kar
chudail dimag
mat kha padhne
de mera exam hai"
Hindi_image_1179.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Others,"सुप्रभात

आपकी खुशियों
के पल कभी
SHURU ना हो

आपका दिन MANHOOSहो"
Hindi_image_118.jpg,Neutral,Non-Sarcastic,Vulgar,Abusive,Gender,"सुहाग रात में;
बिल्डर: तेरे होंठ
डुप्लेक्स जैसे हैं,
फिगर लैंडस्केप
गार्डन की तरह है।

बीवी: अब भूमि-पूजन भी
करोगे या मज़दूर बुलाऊँ।"
Hindi_image_1181.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Gender,"बहुत शांति है

लगता है लडकियां

Bartan maanj rahi

है"
Hindi_image_1182.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,Sale Chutiya 
Hindi_image_1183.jpg,Positive,Non-Sarcastic,Non Vulgar,Abusive,Individual,"UPSC टॉपर Kanishak Kataria ने गर्लफ्रेंड को दिया अपनी
सफलता का श्रेय

le His GF :-"
Hindi_image_1185.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,"Saans leti hu toh
कुलदेव रुष्ट hojate hai"
Hindi_image_1186.jpg,Negative,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,OR JANEMAN KAISI HO
Hindi_image_1187.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,NA
Hindi_image_1188.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"No Bitch

I WILL NOT PLAY ""SUN RAHA HAI NAA
TU""

NO BITCH"
Hindi_image_119.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,"पठान नौकरानी को, तुम बेगम सेज्यादा मज़ा देती हो""| नौकरानीः हजूर, ये तो आपकी ज़र्रा नवाजी है[ वर्ना सारे नौकर तो कहते हैं कि बेगम ज्यादा मज़ा देती हैl"
Hindi_image_1190.jpg,Negative,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,damn what happen !! ! she knew my fb password
Hindi_image_1192.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,None,MAR MARKE GAAND SUJA DUNGA BHOSDIKE
Hindi_image_1195.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Individual, Woh hawa ho qave dekhte dekhte
Hindi_image_1196.jpg,Negative,Non-Sarcastic,Non Vulgar,Non-abusive,Individual, ASHLEEL HAI YE LAUHDN!
Hindi_image_1197.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,Others,HOW CHILDREN USED TO SPEND THEIR TIME 90'$ NOW!!!!!!
Hindi_image_1198.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"When my friend says "" chal Bhai PubG
uninstall marte h "" !
Garud Puraan mein Iske liye
alag sazaa hain ..."
Hindi_image_1199.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,None,"हसदे चेहरा दा मतलाब एह
नहीं हुंडा की ओहना नु कोई
तकलीफ नही हुंडी"
Hindi_image_120.jpg,Neutral,Sarcastic,Vulgar,Abusive,Gender,"संता : जेल कैसे
आना हुआ ?
बंता : वो पडोशन
रोज बडे प्यार से
कहती थी ...
आदाब ...
आदाब ...

एक दिन दबा ही दिये"
Hindi_image_1203.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Others,"मछली जल की रानी है
दारू के साथ खानी है"
Hindi_image_1204.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"One man, many Characters
Ab ghodo ki race me gadhe bhi daugenge"
Hindi_image_1205.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual,"Acha byy Mummy
chilla rahi hai ...

Toh papa ko bol dhere
kare Bhenchoo ..."
Hindi_image_1207.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,Chup kar chudail
Hindi_image_1209.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Individual,ये दू मुंह में तेरे?
Hindi_image_1210.jpg,Negative,Sarcastic,Vulgar,Non-abusive,None,NA
Hindi_image_1211.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,None,Is sajjan ko kya takleef hai bhai?
Hindi_image_1212.jpg,Negative,Non-Sarcastic,Vulgar,Non-abusive,Individual,"अपनी गर्लफ्रेंड का mood जानने के लिए
पहले एक दबाएं ...

mood अच्छा हो तो dono
दबाएं ..! "
Hindi_image_1213.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"ek din main suddenly tum sab
bkl ko apne mental peace ke liye
cut off kardunga phir kisi sundar
or mujhe apni bahon main rone
dene wali ladki ke sath shadi kar
ke sukoon ki zindagi guzarun ga
phir tum sab ko mere memes na
milne ki wajah se depression
hojayega or sab kutte ki maut
maroge"
Hindi_image_1214.jpg,Negative,Non-Sarcastic,Non Vulgar,Non-abusive,Gender,Ae Pagal Aurat
Hindi_image_1215.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"Bigboss Chutiye
Dekhte hai"
Hindi_image_1218.jpg,Negative,Non-Sarcastic,Vulgar,Non-abusive,None,How fast can you guess these words? 1 BOO_$ 2 NDOM. 3. F K ४. P_N_S ५. PUS 6. $X Answers :L. BOOKS २. RANDOM ३. FORK PANTS 5. PULSE S.TDU wrong didn t You? YDu dirty minded freak! Jot
Hindi_image_1221.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,None,"Hum C.I.D Se Hain
Apko good night bolne aaye hai"
Hindi_image_1223.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"माँ-बाप की आँखों के तारे हो तुम
किसी ghaaiu के लिए टूट मत जाना"
Hindi_image_1224.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,None,"Dear, Haha Reactors I Love You
Milo Kabhi, Chai Paani Peete Hai!"
Hindi_image_1226.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Political,ऐ भाई देखो ऐसे नही बोलने का
Hindi_image_1227.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Individual,Late kyu aaye ho? Wo zra Medical store pe ruk gya tha That Smile
Hindi_image_1228.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,"बेटा तुम भरी
जवानी में पागल
हो चुके हो ...."
Hindi_image_1229.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Religion,"Your Honor, mera client
begunah hai

Unhone pahle hi kah diya tha
""my attitud£ depends on your
personality"""
Hindi_image_123.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,"टीचर - आज मैं तुमको Noun पढ़ाऊंगी

टीचर - पप्पू तू खड़ा हो

पप्पू - जी मैडम

टीचर - लड़की सबसे हंस के बात करती है
इसमें लड़की क्या है?

पप्पू - जी लड़की बिगड़ी हुई है
सेटिंग करना चाहती है"
Hindi_image_1230.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,National Origin,Other Donit disturb me Kolhapurkar: घाल की तुझी तिकडं. 
Hindi_image_1235.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Political,idhar dard hota he idhar
Hindi_image_1239.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,"चल पगली DANK COMMUNITY
घुमा लाऊ"
Hindi_image_124.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,Others,"Toh type kijiye ..
""I love U (space)
(girlfriend ka naam)""

Aur
Send kare apni Wife ko.

Kasam se Life mein
hungama machh jayega

Kya aapki life bahut boring hai ...?
Agar haa ..."
Hindi_image_1240.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,Jiju ke joote jab saaliyon ne churai to sabhi ne tarif ki Aur jab maine bhabhi ke gahne churaye to sabhi ne koot diya GOUDMINNES
Hindi_image_1241.jpg,Negative,Non-Sarcastic,Vulgar,Non-abusive,Individual,NA
Hindi_image_1242.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"If I Die

Please Laugh

Then Look At The Sky And say

आरे भाई भाई भाई"
Hindi_image_1243.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,"friend at 12:30 am
nau Kaha ho

using Vpn :-

Vjay Thak

Italy me he Apun"
